,Position,Nickname,FPPG,Salary,Opponent,Home,D,K,QB,RB,TE,WR,minTweetCounts
405,RB,Cedric Peerman,1.5,4500,5.0,1,0,0,0,1,0,0,11
406,RB,Senorise Perry,0.0,4500,10.714285714285714,0,0,0,0,1,0,0,12
407,K,Cody Parkey,7.2,4500,10.714285714285714,0,0,1,0,0,0,0,22
408,WR,Kamar Aiken,2.257142884390695,4500,6.833333333333332,0,0,0,0,0,0,1,10
409,WR,Aaron Burbridge,1.287500023841858,4500,8.285714285714286,0,0,0,0,0,0,1,12
410,TE,Josh Hill,2.5999999046325684,4500,10.0,1,0,0,0,0,1,0,20
411,RB,James Develin,1.1666666666666667,4500,8.571428571428571,1,0,0,0,1,0,0,60
412,RB,Tra Carson,0.0,4500,5.0,1,0,0,0,1,0,0,56
413,WR,Quan Bray,0.7714285850524902,4500,6.833333333333332,0,0,0,0,0,0,1,11
414,TE,Andrew Price,0.0,4500,9.857142857142858,1,0,0,0,0,1,0,41
415,WR,C.J. Goodwin,0.0,4500,5.142857142857143,0,0,0,0,0,0,1,12
416,TE,Chris Manhertz,1.6000000238418581,4500,6.0,0,0,0,0,0,1,0,11
417,TE,Trey Burton,2.8799999237060545,4500,3.8571428571428568,1,0,0,0,0,1,0,50
418,RB,Jay Prosch,2.299999952316284,4500,9.5,0,0,0,0,1,0,0,11
419,TE,Stephen Anderson,3.6200000762939455,4500,9.5,0,0,0,0,0,1,0,22
420,RB,Mack Brown,2.25,4500,6.333333333333332,1,0,0,0,1,0,0,35
421,WR,Darrius Heyward-Bey,2.5999999046325684,4500,13.0,0,0,0,0,0,0,1,13
422,RB,Terrell Watson,0.1600000023841858,4500,13.0,0,0,0,0,1,0,0,15
423,WR,Bryce Treggs,3.100000063578288,4500,6.571428571428571,1,0,0,0,0,0,1,11
424,TE,James Hanna,4.650000095367432,4500,7.666666666666668,0,0,0,0,0,1,0,11
425,RB,Keith Marshall,0.0,4500,6.333333333333332,1,0,0,0,1,0,0,55
426,RB,Daniel Lasco II,1.7666667302449544,4500,10.0,1,0,0,0,1,0,0,9
427,TE,Anthony Fasano,5.0,4500,10.714285714285714,0,0,0,0,0,1,0,42
428,TE,Geoff Swaim,1.2000000476837158,4500,7.666666666666668,0,0,0,0,0,1,0,9
429,WR,Chad Hansen,0.0,4500,5.0,1,0,0,0,0,0,1,11
430,RB,Andy Janovich,0.9666666984558104,4500,7.142857142857142,0,0,0,0,1,0,0,17
431,TE,Alan Cross,1.0499999523162842,4500,7.428571428571429,1,0,0,0,0,1,0,85
432,WR,Fred Ross Jr.,0.0,4500,6.0,0,0,0,0,0,0,1,9
433,TE,MarQueis Gray,0.0,4500,10.714285714285714,0,0,0,0,0,1,0,16
434,WR,Josh Gordon,0.0,4500,6.571428571428571,1,0,0,0,0,0,1,35
435,TE,Crockett Gillmore,3.4200000762939453,4500,6.666666666666668,1,0,0,0,0,1,0,9
436,WR,Dan Arnold,0.0,4500,10.0,1,0,0,0,0,0,1,86
437,RB,Alfred Blue,1.2000000476837158,4500,9.5,0,0,0,0,1,0,0,9
438,TE,Cole Hikutini,1.0,4500,8.285714285714286,0,0,0,0,0,1,0,10
439,WR,Matthew Slater,-0.375,4500,8.571428571428571,1,0,0,0,0,0,1,29
440,WR,Mack Hollins,7.46666653951009,4500,3.8571428571428568,1,0,0,0,0,0,1,35
441,TE,Maxx Williams,1.4666666984558103,4500,6.666666666666668,1,0,0,0,0,1,0,13
442,TE,Seth DeValve,4.7714287894112735,4500,6.571428571428571,1,0,0,0,0,1,0,13
443,TE,Brandon Williams,2.3399999618530267,4500,6.833333333333332,0,0,0,0,0,1,0,45
444,TE,Sean McGrath,1.5,4500,5.0,0,0,0,0,0,1,0,56
445,TE,Ross Travis,1.100000023841858,4500,6.833333333333332,1,0,0,0,0,1,0,8
446,TE,Evan Baylis,0.0,4500,6.833333333333332,0,0,0,0,0,1,0,9
447,RB,Matthew Dayes,0.9333333174387614,4500,6.571428571428571,1,0,0,0,1,0,0,11
448,WR,Malcolm Mitchell,6.674999872843426,4500,8.571428571428571,1,0,0,0,0,0,1,23
449,WR,Tyler Boyd,1.825000047683716,4500,5.0,1,0,0,0,0,0,1,19
450,WR,Chester Rogers,3.0999999046325684,4500,6.833333333333332,0,0,0,0,0,0,1,9
451,WR,Corey Fuller,0.0,4500,10.0,1,0,0,0,0,0,1,14
452,WR,R.J. Shelton,0.0,4500,5.857142857142858,0,0,0,0,0,0,1,9
453,WR,Ryan Switzer,-0.06666666766007741,4500,7.666666666666668,0,0,0,0,0,0,1,62
454,RB,Darius Jackson,0.0,4500,6.571428571428571,1,0,0,0,1,0,0,12
455,TE,Logan Thomas,4.75,4500,3.571428571428572,1,0,0,0,0,1,0,32
456,TE,Jacob Hollister,0.8500000238418579,4500,8.571428571428571,1,0,0,0,0,1,0,15
457,WR,Isaiah Burse,0.0,4500,5.0,0,0,0,0,0,0,1,9
458,K,Robbie Gould,9.714285714285714,4500,8.285714285714286,0,0,1,0,0,0,0,28
459,RB,Trey Edmunds,0.0,4500,10.0,1,0,0,0,1,0,0,9
460,WR,Chris Matthews,1.3333333333333333,4500,6.666666666666668,1,0,0,0,0,0,1,66
461,RB,Danny Vitale,1.399999976158142,4500,6.571428571428571,1,0,0,0,1,0,0,30
462,TE,Logan Paulsen,0.0,4500,8.285714285714286,0,0,0,0,0,1,0,18
463,WR,Cody Core,0.0,4500,5.0,1,0,0,0,0,0,1,34
464,TE,Connor Hamlett,8.199999809265138,4500,7.666666666666668,0,0,0,0,0,1,0,18
465,WR,Deante' Gray,0.0,4500,9.5,0,0,0,0,0,0,1,9
466,WR,Brenton Bersin,1.350000023841858,4500,6.0,0,0,0,0,0,0,1,11
467,WR,Austin Carr,0.0,4500,10.0,1,0,0,0,0,0,1,38
468,RB,Damien Williams,2.360000038146973,4500,10.714285714285714,0,0,0,0,1,0,0,57
469,WR,Tommylee Lewis,2.539999961853028,4500,10.0,1,0,0,0,0,0,1,28
470,WR,Chris Thompson,0.8000000317891439,4500,9.5,0,0,0,0,0,0,1,35
471,RB,Corey Clement,4.759999847412108,4500,3.8571428571428568,1,0,0,0,1,0,0,51
472,K,Nick Novak,5.666666666666668,4500,5.0,0,0,1,0,0,0,0,19
473,WR,Markus Wheaton,0.4666666587193807,4500,10.833333333333336,0,0,0,0,0,0,1,13
474,WR,Josh Bellamy,5.46666653951009,4500,10.833333333333336,0,0,0,0,0,0,1,63
475,TE,Cethan Carter,0.0,4500,5.0,1,0,0,0,0,1,0,11
476,WR,Andy Jones,0.0,4500,9.857142857142858,1,0,0,0,0,0,1,18
477,TE,Jeff Heuerman,4.633333206176758,4500,7.142857142857142,0,0,0,0,0,1,0,11
478,TE,Jake Butt,0.0,4500,7.142857142857142,0,0,0,0,0,1,0,20
479,RB,Terron Ward,3.34000015258789,4500,5.142857142857143,0,0,0,0,1,0,0,11
480,RB,C.J. Ham,2.775000095367432,4500,5.857142857142858,0,0,0,0,1,0,0,8
481,WR,Braxton Miller,2.625,4500,9.5,0,0,0,0,0,0,1,27
482,RB,Rod Smith,3.3999999364217124,4500,7.666666666666668,0,0,0,0,1,0,0,40
483,TE,Jordan Leggett,0.0,4500,5.0,1,0,0,0,0,1,0,31
484,TE,Demetrius Harris,2.9399999618530277,4500,6.833333333333332,1,0,0,0,0,1,0,14
485,TE,Randall Telfer,1.7000000476837158,4500,6.571428571428571,1,0,0,0,0,1,0,12
